Z60W Data File: Version 1.1
CorrTest for Windows: SN CS310X24051092  V6.5.1230.3  V3.8.240408.1
Sweep Frequency: Control Voltage
Date:6-1-2025   Time:18:47:48
Comment
ExpParmas:ExpType=ID_EISVSFRQ&-&AttenualSet=0&-&IsEReject=True&-&IsIReject=True&-&RejectMode=0&-&Tran_Frq_H=1000&-&Tran_Frq_L=10&-&Init_Fre=100000&-&Final_Fre=0.1&-&Range_High=3&-&Range_Mid=5&-&Range_Low=5&-&Range_AutoEn=1&-&Range_Min=3&-&Mode=1&-&Filter_H=1&-&Filter_M=2&-&Filter_L=3&-&Filter_Fre=10&-&ADS_EN=1&-&ADS_Fre=200&-&Filter_AutoEn=0&-&Integral_Auto=1&-&Integral_Time=1&-&Integral_Period=1&-&IsAutoDelayTime=True&-&DelayTime=500&-&TenTwice=10&-&SineAmp=10&-&SineBias=-0.8&-&IsLine=False&-&VsOcp=vsRef&-&ParamsType=1&-&FreSlopeK=1&-&CheckSineAmp=0&-&TestPoints=0&-&DeductWire=False&-&PotGain=0&-&CurrentGain=0&-&PotGain2=0&-&CurrentGain2=0&-&Tran_Frq1=1000000&-&Tran_Frq2=100000&-&Tran_Frq3=10000&-&Tran_Frq4=100&-&Tran_Frq5=10&-&Tran_Frq6=1&-&Filter_1=1&-&Filter_2=2&-&Filter_3=3&-&Filter_4=5&-&Filter_5=5&-&Filter_6=5&-&Filter_7=5&-&AutoMinRange1=3&-&AutoMinRange2=3&-&AutoMinRange3=3&-&AutoMinRange4=6&-&AutoMinRange5=6&-&AutoMinRange6=8&-&AutoMinRange7=8&-&ManageRange1=2&-&ManageRange2=3&-&ManageRange3=3&-&ManageRange4=5&-&ManageRange5=6&-&ManageRange6=6&-&ManageRange7=6&-&FileName=C:\Users\17711\Desktop\CS Data\Z TAN\FeOOH_PSSNa_EA_P_0601\eis.z60&-&FilePath=C:\Users\17711\Desktop\CS Data\Z TAN\FeOOH_PSSNa_EA_P_0601\eis.z60&-&Comment=&-&IsFrq=True&-&SampleInter=0.01&-&SampleFrq=100&-&Number=0&-&EnableAxisType=False&-&AxisType=EIvsTime&-&OcpValue=-0.73065596818924&-&IsStopEvent=False&-&Frq=5&-&ExpTime=0&-&DevParam=VoltRange=2&|&EnableWaitSecond=False&|&IsWaitSecond=False&|&WaitSecondEx=5&|&IsCurrAutoRange=True&|&IsVoltAutoRange=True&|&OnlyInc=True&|&AutoMinCurrRange=6&|&OnlyIncE=True&|&AutoMinVoltRange=4&|&IsIR=False&|&IrModeEx=0&|&IrValue=100&|&IsVoltRule=True&|&IsCurrRule=True&|&XiaoboqiEnable=True&|&Xianboqi=True&|&ManualCurRange=3&|&FilterCap=3&|&IsContainsUnit=False&|&LowFilter=True&|&OneKHzFilter=True&|&DigitalSmoothModeEx=0&|&DigitLPFCount=5&|&LineFre=0&|&IsIgnoreFre=False&|&OcpState=False&|&DeltaMaxOcp=10&|&WEMode=0&|&GroundingMode=1&|&IsLowSpeedFilter=False&|&IsEnableCY=False&|&OutputMode=0&|&OutputTime=100&-&CellParam=Area=1&|&AreaMode=0&|&Density=7.8&|&Dangliang=28&|&Type=0&|&REValue=0&|&Temp=25&|&Stern=26&|&Enable=True&|&IsGetTemp=False&|&EnableSpeed=False&|&RotatingSpeed=3200&-&ExpType=ID_EISVSFRQ&-&Issampling=True&-&EnablePause=False&-&EnablePolar=True&-&Cycles=1&-&DefaultE=0&-&DefaultI=0,ExpInfo:DC Potential(V):-0.8,Amplitude(mV):10,Initial Frequency:100000,Final Frequency:0.1,Points:60
Surface Area:           1
Density:                7.8
Weight:                 28
Freq(Hz)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	GD	Err	Range
End Comments
1.00000E+05	6.82856E+00	1.87065E+00	0.00000E+00	0	0
7.91234E+04	6.74985E+00	1.38051E+00	0.00000E+00	0	0
6.26052E+04	6.70917E+00	1.08709E+00	0.00000E+00	0	0
4.95354E+04	6.71322E+00	8.38590E-01	0.00000E+00	0	0
3.91941E+04	6.67326E+00	6.17519E-01	0.00000E+00	0	0
3.10117E+04	6.68157E+00	4.61349E-01	0.00000E+00	0	0
2.45375E+04	6.69298E+00	3.27889E-01	0.00000E+00	0	0
1.94149E+04	6.70785E+00	2.22653E-01	0.00000E+00	0	0
1.53618E+04	6.72708E+00	1.36200E-01	0.00000E+00	0	0
1.21547E+04	6.75681E+00	5.40219E-02	0.00000E+00	0	0
9.61725E+03	6.78510E+00	-8.12653E-03	0.00000E+00	0	0
7.60950E+03	6.81140E+00	-6.19944E-02	0.00000E+00	0	0
6.02090E+03	6.84590E+00	-1.07645E-01	0.00000E+00	0	0
4.76394E+03	6.88562E+00	-1.45652E-01	0.00000E+00	0	0
3.76939E+03	6.81078E+00	-1.65987E-01	0.00000E+00	0	0
2.98247E+03	6.85201E+00	-1.93289E-01	0.00000E+00	0	0
2.35983E+03	6.89057E+00	-2.12177E-01	0.00000E+00	0	0
1.86718E+03	6.95212E+00	-2.34776E-01	0.00000E+00	0	0
1.47738E+03	6.99638E+00	-2.49098E-01	0.00000E+00	0	0
1.16895E+03	7.05027E+00	-2.70898E-01	0.00000E+00	0	0
9.24915E+02	7.07744E+00	-2.82450E-01	0.00000E+00	0	0
7.31824E+02	7.11895E+00	-2.93874E-01	0.00000E+00	0	0
5.79044E+02	7.17584E+00	-3.07691E-01	0.00000E+00	0	0
4.58160E+02	7.22325E+00	-3.18113E-01	0.00000E+00	0	0
3.62512E+02	7.28015E+00	-3.33393E-01	0.00000E+00	0	0
2.86832E+02	7.27676E+00	-3.39876E-01	0.00000E+00	0	0
2.26951E+02	7.33755E+00	-3.59205E-01	0.00000E+00	0	0
1.79571E+02	7.38848E+00	-3.75595E-01	0.00000E+00	0	0
1.42083E+02	7.44214E+00	-3.98459E-01	0.00000E+00	0	0
1.12421E+02	7.49898E+00	-4.29744E-01	0.00000E+00	0	0
8.89514E+01	7.55454E+00	-4.59074E-01	0.00000E+00	0	0
7.03814E+01	7.62753E+00	-4.97168E-01	0.00000E+00	0	0
5.56881E+01	7.69982E+00	-5.50072E-01	0.00000E+00	0	0
4.40624E+01	7.76478E+00	-5.96088E-01	0.00000E+00	0	0
3.48637E+01	7.84602E+00	-6.57733E-01	0.00000E+00	0	0
2.75853E+01	7.93837E+00	-7.33693E-01	0.00000E+00	0	0
2.18265E+01	8.03932E+00	-8.19853E-01	0.00000E+00	0	0
1.72698E+01	8.14364E+00	-9.17339E-01	0.00000E+00	0	0
1.36645E+01	8.24263E+00	-1.03573E+00	0.00000E+00	0	0
1.08118E+01	8.38031E+00	-1.15724E+00	0.00000E+00	0	0
8.55467E+00	8.55543E+00	-1.32121E+00	0.00000E+00	0	0
6.76875E+00	8.73675E+00	-1.47377E+00	0.00000E+00	0	0
5.35567E+00	8.93713E+00	-1.64217E+00	0.00000E+00	0	0
4.23759E+00	9.11285E+00	-1.80122E+00	0.00000E+00	0	0
3.35292E+00	9.44397E+00	-2.01005E+00	0.00000E+00	0	0
2.65295E+00	9.79134E+00	-2.21086E+00	0.00000E+00	0	0
2.09910E+00	1.01942E+01	-2.37240E+00	0.00000E+00	0	0
1.66088E+00	1.06434E+01	-2.49504E+00	0.00000E+00	0	0
1.31415E+00	1.11906E+01	-2.58854E+00	0.00000E+00	0	0
1.03980E+00	1.16739E+01	-2.59241E+00	0.00000E+00	0	0
8.22724E-01	1.21869E+01	-2.54887E+00	0.00000E+00	0	0
6.50968E-01	1.26152E+01	-2.41589E+00	0.00000E+00	0	0
5.15068E-01	1.28229E+01	-2.19776E+00	0.00000E+00	0	0
4.07539E-01	1.32472E+01	-2.03134E+00	0.00000E+00	0	0
3.22459E-01	1.35548E+01	-1.80125E+00	0.00000E+00	0	0
2.55141E-01	1.38061E+01	-1.58869E+00	0.00000E+00	0	0
2.01876E-01	1.41265E+01	-1.37249E+00	0.00000E+00	0	0
1.59731E-01	1.40206E+01	-1.16109E+00	0.00000E+00	0	0
1.26385E-01	1.41665E+01	-9.82060E-01	0.00000E+00	0	0
1.00000E-01	1.43537E+01	-7.98134E-01	0.00000E+00	0	0
